,,MILK,,,,,EGGS,,,,,RED MEAT,,,,,POULTRY,,,,,STARCHY VEGETABLES,,,,,FISH & SEAFOOD,,,,,VEGETABLES,,,,,FRUIT,,,,,LEGUMES & PULSES,,,,,WHOLE GRAINS,,,,,NUTS,,,,,,
Bulgaria,,155.71,,1150,,,8.62,,64,,,37.53,,277,,,22.67,,167,,,27.08,,200,,,7.05,,52,,,90.27,,667,,,70.43,,520,,,4.29,,32,,,131.81,,973,,,1.37,,10,,,,"7,385,367"
Croatia,,231.02,,1038,,,8.06,,36,,,67.43,,303,,,12.36,,56,,,39.13,,176,,,18.74,,84,,,255.12,,1147,,,108.2,,486,,,2.04,,9,,,106.17,,477,,,2.42,,11,,,,"4,494,749"
Czechia,,195.2,,1998,,,8.63,,88,,,61.4,,628,,,22.29,,228,,,64.04,,655,,,9.31,,95,,,78.73,,806,,,65.64,,672,,,3.15,,32,,,102.11,,1045,,,0.81,,8,,,,"10,235,455"
Denmark,,277.3,,2838,,,15.79,,162,,,52.43,,537,,,26.9,,275,,,56.92,,583,,,22.7,,232,,,100.89,,1033,,,121.58,,1244,,,2.23,,23,,,112.17,,1148,,,2.44,,25,,,,"10,235,455"
Estonia,,284.85,,377,,,12.69,,17,,,47,,62,,,22.17,,29,,,64.22,,85,,,14.72,,19,,,102.35,,136,,,81.06,,107,,,5.47,,7,,,101.1,,134,,,1.85,,2,,,,"1,324,333"
Finland,,430.76,,2253,,,8.74,,46,,,58.72,,307,,,19.4,,101,,,57.09,,299,,,33.62,,176,,,84.18,,440,,,95.24,,498,,,2.47,,13,,,111.61,,584,,,1.02,,5,,,,"5,231,372"
France,,241.31,,14690,,,11.53,,702,,,55.99,,3408,,,22.99,,1400,,,49.56,,3017,,,34.37,,2092,,,84.18,,5125,,,114.34,,6961,,,3.03,,184,,,138.55,,8434,,,4.01,,244,,,,"60,876,136"
Germany,,258.7,,21323,,,11.22,,925,,,60.6,,4995,,,18.15,,1496,,,58.73,,4841,,,12.75,,1051,,,95.36,,7860,,,88.46,,7291,,,8.6,,709,,,114.9,,9470,,,3.64,,300,,,,"82,422,299"
Greece,,255.26,,2728,,,8.6,,92,,,53.2,,569,,,20.01,,214,,,55.77,,596,,,19.44,,208,,,149.94,,1603,,,121.52,,1299,,,5.33,,57,,,135.86,,1452,,,13.56,,145,,,,"10,688,058"
Hungary,,159.05,,1588,,,13.61,,136,,,58.48,,584,,,25.46,,254,,,39.56,,395,,,6.3,,63,,,86.99,,868,,,58.38,,583,,,2.47,,25,,,118.75,,1185,,,0.27,,3,,,,"9,981,334"
Iceland,,225.82,,68,,,10.93,,3,,,60.53,,18,,,30.86,,9,,,38.55,,12,,,90.71,,27,,,72.53,,22,,,133.1,,40,,,1.85,,1,,,84.65,,25,,,1.51,,0,,,,"299,388"
Ireland,,291.86,,1186,,,9.13,,37,,,53.48,,217,,,24.48,,99,,,68.72,,279,,,23.43,,95,,,97.14,,395,,,158.56,,644,,,4.67,,19,,,125.48,,510,,,1.46,,6,,,,"4,062,235"
Italy,,246.88,,14352,,,11.77,,684,,,62.8,,3651,,,18.89,,1098,,,35.48,,2063,,,29.8,,1732,,,130.88,,7609,,,139.79,,8126,,,5.74,,334,,,160.96,,9357,,,8.05,,468,,,,"58,133,509"
Latvia,,174.11,,396,,,12.49,,28,,,50.24,,114,,,21.03,,48,,,112.73,,256,,,24.86,,57,,,116.44,,265,,,47.99,,109,,,0.82,,2,,,117.3,,267,,,1.53,,3,,,,"2,274,735"
Lithuania,,295.46,,1059,,,15.01,,54,,,54.66,,196,,,29.04,,104,,,60.62,,217,,,33.09,,119,,,94.45,,339,,,49.08,,176,,,5.87,,21,,,145.56,,522,,,1.46,,5,,,,"3,585,906"
Luxembourg,,255.3,,121,,,15.58,,7,,,62.7,,30,,,18.96,,9,,,32.45,,15,,,32.15,,15,,,96.03,,46,,,200.83,,95,,,3.23,,2,,,118.05,,56,,,0.49,,0,,,,"474,413"
Malta,,190.06,,76,,,11.95,,5,,,51.3,,21,,,26.57,,11,,,29.02,,12,,,31.9,,13,,,200.88,,80,,,76.2,,30,,,9.79,,4,,,147.69,,59,,,2.03,,1,,,,"400,214"
Montenegro,,349.21,,217,,,12.04,,7,,,61.44,,38,,,16.64,,10,,,26.89,,17,,,14.06,,9,,,108.62,,68,,,136.93,,85,,,5.36,,3,,,130.29,,81,,,2.37,,1,,,,"622,471"
Netherlands,,341.47,,5631,,,14.12,,233,,,56.07,,925,,,13.11,,216,,,70.95,,1170,,,21.77,,359,,,61.6,,1016,,,176.1,,2904,,,3.8,,63,,,92.99,,1534,,,2.58,,43,,,,"16,491,461"
North Macedonia,,157.93,,324,,,5.04,,10,,,18.9,,39,,,19.73,,40,,,60.64,,124,,,6.21,,13,,,257.64,,528,,,98.32,,202,,,7.92,,16,,,130.02,,267,,,3.73,,8,,,,"2,050,554"
Norway,,261.34,,1205,,,11.58,,53,,,47.1,,217,,,20.57,,95,,,52.6,,243,,,51.35,,237,,,73.16,,337,,,140.87,,650,,,8.81,,41,,,111.58,,514,,,1.98,,9,,,,"4,610,820"
Poland,,205.39,,7915,,,6.77,,261,,,58.02,,2236,,,30.46,,1174,,,99.53,,3836,,,10.69,,412,,,125.56,,4839,,,60.17,,2319,,,2.51,,97,,,144.51,,5569,,,1.25,,48,,,,"38,536,869"
Portugal,,205.04,,2175,,,8.44,,90,,,63.04,,669,,,31.64,,336,,,62.78,,666,,,56.84,,603,,,152.78,,1620,,,125.25,,1328,,,3.83,,41,,,137.77,,1461,,,4.37,,46,,,,"10,605,870"
Republic of Moldova,,,,0,,,,,0,,,,,0,,,,,0,,,40.06,,179,,,11.58,,52,,,75.12,,336,,,55.73,,249,,,0.85,,4,,,126.72,,566,,,1.66,,7,,,,"4,466,706"
Romania,,238.33,,5316,,,14.35,,320,,,45.52,,1015,,,19.31,,431,,,97.72,,2180,,,5.96,,133,,,196.22,,4376,,,76.17,,1699,,,2.91,,65,,,170.8,,3809,,,2.5,,56,,,,"22,303,552"
Russian Federation,,163.57,,23373,,,16.02,,2289,,,44.37,,6340,,,31.31,,4474,,,101.11,,14448,,,20.07,,2868,,,113.04,,16153,,,71.65,,10238,,,3.95,,564,,,147.72,,21108,,,0.29,,41,,,,"142,893,540"
Serbia,,148.53,,21224,,,9.42,,1346,,,44.5,,6359,,,11.68,,1669,,,35.18,,5027,,,6.18,,883,,,110.17,,15743,,,109.85,,15697,,,4.21,,602,,,145.68,,20817,,,1.62,,231,,,,"142,893,540"
Slovakia,,143.14,,779,,,12.93,,70,,,43.21,,235,,,14.15,,77,,,50.79,,276,,,9.7,,53,,,62.79,,342,,,58.05,,316,,,2.33,,13,,,101.99,,555,,,1.5,,8,,,,"5,439,448"
Slovenia,,235.01,,472,,,9.87,,20,,,45.5,,91,,,24.06,,48,,,42.12,,85,,,11.96,,24,,,91.83,,185,,,117.35,,236,,,3.31,,7,,,145.57,,293,,,2.32,,5,,,,"2,010,347"
Spain,,164.29,,6637,,,13.73,,555,,,68.32,,2760,,,30.48,,1231,,,56.13,,2268,,,42.47,,1716,,,146.54,,5920,,,72.23,,2918,,,6.97,,282,,,115.99,,4686,,,8.59,,347,,,,"40,397,842"
Sweden,,341.23,,3077,,,13.5,,122,,,56.28,,507,,,16.88,,152,,,52.63,,475,,,32.81,,296,,,85.67,,772,,,125,,1127,,,3.1,,28,,,109.44,,987,,,2.01,,18,,,,"9,016,596"
Switzerland,,318.69,,2398,,,10,,75,,,49.58,,373,,,15.47,,116,,,39.25,,295,,,16.94,,127,,,92.01,,692,,,103.61,,780,,,2.4,,18,,,104.33,,785,,,4.5,,34,,,,"7,523,934"
Ukraine,,145.03,,6774,,,14.43,,674,,,24.76,,1157,,,24.56,,1147,,,138.86,,6486,,,11.67,,545,,,161.44,,7541,,,61.51,,2873,,,2.33,,109,,,154.27,,7206,,,1.69,,79,,,,"46,710,816"
UK. ,,232.2,,14073,,,11.23,,681,,,47.04,,2851,,,30.21,,1831,,,76.85,,4658,,,19.73,,1196,,,82.91,,5025,,,127.41,,7722,,,5.68,,344,,,126.77,,7683,,,1.35,,82,,,,"60,609,153"
,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,
Afghanistan,,59.3,,1842,,,1.5,,47,,,8.26,,257,,,1.43,,44,,,7.46,,232,,,0.25,,8,,,48.34,,1501,,,34.05,,1057,,,3.9,,121,,,177.59,,5515,,,1.18,,37,,,,"31,056,997"
Armenia,,209,,622,,,11.64,,35,,,27.53,,82,,,15.17,,45,,,47.37,,141,,,5.83,,17,,,336.18,,1001,,,110.87,,330,,,2.65,,8,,,152.31,,453,,,1.69,,5,,,,"2,976,372"
Azerbijan,,152,,1210,,,8.86,,71,,,20.91,,166,,,13.87,,110,,,72.67,,579,,,3.2,,25,,,159.61,,1271,,,74.93,,597,,,0.83,,7,,,200.63,,1597,,,3.76,,30,,,,"7,961,619"
Georgia,,149.26,,696,,,6.11,,28,,,17.48,,81,,,16.52,,77,,,47.12,,220,,,8.04,,37,,,49.77,,232,,,49.93,,233,,,1.15,,5,,,176.54,,823,,,2.38,,11,,,,"4,661,473"
Kazakhstan,,288,,4387,,,8.62,,131,,,46.59,,710,,,18.62,,284,,,109.02,,1661,,,4.5,,69,,,191.92,,2924,,,90.68,,1381,,,1.46,,22,,,105.98,,1614,,,1.68,,26,,,,"15,233,244"
Kyrgyzsran,,210.92,,1100,,,4.32,,23,,,26.93,,140,,,3.39,,18,,,94.23,,491,,,1.14,,6,,,184.35,,961,,,29.11,,152,,,3.65,,19,,,165.83,,865,,,4.1,,21,,,,"5,213,898"
Mongolia,,173.1,,490,,,4.07,,12,,,82.04,,232,,,2.95,,8,,,44.55,,126,,,0.48,,1,,,47.31,,134,,,30.11,,85,,,0.64,,2,,,125.51,,355,,,0.67,,2,,,,"2,832,224"
Tajikistan,,56.7,,415,,,2.44,,18,,,10.6,,78,,,3.25,,24,,,34.25,,251,,,0.37,,3,,,208.83,,1529,,,33.21,,243,,,3.64,,27,,,141.24,,1034,,,0.61,,4,,,,"7,320,815"
Uzbekistan,,130.8,,3572,,,6.59,,180,,,34.1,,931,,,2.06,,56,,,71.34,,1948,,,2.25,,61,,,274.15,,7486,,,91.17,,2490,,,0.04,,1,,,196.31,,5361,,,1.56,,43,,,,"27,307,134"
Turkey,,175.9,,12386,,,7.43,,523,,,18.62,,1311,,,20.84,,1467,,,46.82,,3297,,,4.85,,342,,,254.11,,17893,,,127.17,,8955,,,15.09,,1063,,,207.89,,14638,,,6.84,,482,,,,"70,413,958"
Turkmenistan,,137,,691,,,7.07,,36,,,49.51,,250,,,4.66,,24,,,94.44,,476,,,2.94,,15,,,143.09,,722,,,56.1,,283,,,0,,0,,,207.85,,1048,,,0.37,,2,,,,"5,042,920"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N.America,1504,441.77,2.64%,82020,16.63%,,28.59,2.77%,4773,7.18%,,117.8,2.87%,21545,11.52%,,97.12,3.88%,18244,17.70%,,134.25,1.30%,19282,5.06%,,44.81,1.87%,7416,5.64%,,214.99,1.57%,37211,3.96%,,172.28,1.45%,26070,5.23%,,24.72,1.95%,3087,4.56%,,221.11,1.04%,36727,3.42%,,6.89,2.50%,1279,8.80%,,,"331,543,147"
average kg/y for region,,220.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% of all foods,,29.37%,,,,,1.90%,,,,,7.83%,,,,,6.46%,,,,,8.92%,,,,,2.98%,,,,,14.29%,,,,,11.45%,,,,,1.64%,,,,,14.70%,,,,,0.46%,,,,,,
Canada,,187.77,,6215,,,14.17,,469,,,51.3,,1698,,,40.48,,1340,,,78.33,,2593,,,22.45,,743,,,101.57,,3362,,,95.52,,3162,,,16.17,,535,,,110.28,,3650,,,2.93,,97,,,,"33,098,932"
USA,,254,,75805,,,14.42,,4304,,,66.5,,19847,,,56.64,,16904,,,55.92,,16689,,,22.36,,6673,,,113.42,,33850,,,76.76,,22909,,,8.55,,2552,,,110.83,,33077,,,3.96,,1182,,,,"298,444,215"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,7839,482.9,2.88%,15301,3.10%,,142.79,13.82%,36784,55.34%,,471.12,11.48%,81793,43.75%,,249.11,9.95%,30050,29.15%,,738.06,7.12%,121307,31.86%,,534.6,22.28%,82330,62.66%,,1583.9,11.56%,561624,59.77%,,934.71,7.85%,176127,35.33%,,121.61,9.58%,21600,31.93%,,2537.56,11.88%,424047,39.50%,,42.95,15.59%,6041,41.57%,,,"2,113,393,271"
average kg/y for region,,34.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% of all foods,,6.16%,,,,,1.82%,,,,,6.01%,,,,,3.18%,,,,,9.41%,,,,,6.82%,,,,,20.20%,,,,,11.92%,,,,,1.55%,,,,,32.37%,,,,,0.55%,,,,,,
Australia,,234.49,,4752,,,8.03,,163,,,64.36,,1304,,,48.66,,986,,,48.81,,989,,,25.87,,524,,,107.15,,2171,,,77.7,,1575,,,4.65,,94,,,95.69,,1939,,,4.81,,97,,,,"20,264,082"
Brunei,,18.3,,7,,,16.16,,6,,,,,0,,,0,,0,,,29.28,,11,,,46.7,,18,,,90.25,,34,,,76.51,,29,,,0,,0,,,0,,0,,,0,,0,,,,"379,444"
Cambodia,,3.7,,51,,,1.32,,18,,,9.69,,135,,,2.46,,34,,,29.28,,406,,,42.69,,593,,,30.3,,421,,,26.25,,364,,,11.2,,155,,,254.22,,3529,,,0.2,,3,,,,"13,881,427"
China,,2.4,,3154,,,22.72,,29853,,,48.06,,63150,,,13.72,,18028,,,64.49,,84738,,,38.17,,50154,,,377.17,,495591,,,93.92,,123408,,,10.94,,14375,,,194.59,,255686,,,2.51,,3298,,,,"1,313,973,713"
Indonesia,,3.5,,859,,,5.57,,1367,,,4.51,,1107,,,7.92,,1944,,,69.05,,16949,,,44.67,,10964,,,43.73,,10734,,,58.38,,14330,,,7.97,,1956,,,259.45,,63683,,,0.61,,150,,,,"245,452,739"
Japan,,24.9,,3174,,,19.64,,2503,,,31.29,,3988,,,18.78,,2394,,,69.05,,8801,,,45.49,,5798,,,91.1,,11612,,,52.85,,6736,,,10.32,,1315,,,139.66,,17802,,,0.95,,121,,,,"127,463,611"
Malaysia,,29.8,,727,,,17.88,,436,,,14.75,,360,,,39.04,,952,,,18.5,,451,,,57.62,,1405,,,66.45,,1620,,,45.29,,1104,,,4.48,,109,,,175.12,,4270,,,0.95,,23,,,,"24,385,858"
Myanmar,,10.2,,483,,,5.4,,256,,,18.88,,895,,,29.1,,1379,,,13.62,,645,,,47.32,,2242,,,82.79,,3923,,,39.32,,1863,,,17.67,,837,,,213.13,,10099,,,1.62,,77,,,,"47,382,633"
New Zealand,,137.25,,559,,,10.42,,42,,,64.27,,262,,,25.51,,104,,,49.85,,203,,,24.73,,101,,,98.63,,402,,,63.34,,258,,,7.24,,30,,,112.78,,460,,,2.23,,9,,,,"4,076,140"
North Korea,,0.2,,5,,,4.6,,106,,,11.75,,272,,,1.67,,39,,,61.28,,1416,,,11.4,,263,,,126.22,,2917,,,57.41,,1327,,,13.33,,308,,,176.96,,4090,,,0.6,,14,,,,"23,113,019"
Papua New Guinea,,,,0,,,,,0,,,60.3,,342,,,3.36,,19,,,200.83,,1139,,,0,,0,,,,,0,,,0,,0,,,0.66,,4,,,69.45,,394,,,0.62,,4,,,,"5,670,544"
Phillipines,,13.2,,1181,,,4.05,,362,,,24.21,,2166,,,12.83,,1148,,,17.18,,1537,,,28.14,,2518,,,62.56,,5597,,,105.7,,9457,,,2.13,,191,,,229.95,,20573,,,1.68,,150,,,,"89,468,677"
South Korea,,0.56,,27,,,10.25,,501,,,54.16,,2646,,,16.91,,826,,,40.06,,1957,,,54.97,,2685,,,197.13,,9629,,,66.86,,3266,,,8.05,,393,,,187.62,,9165,,,2.74,,134,,,,"48,846,823"
Thailand,,2.5,,162,,,12.36,,799,,,15.62,,1010,,,13.26,,857,,,9.97,,644,,,29.17,,1885,,,39.89,,2578,,,103.12,,6665,,,5.41,,350,,,194.5,,12571,,,0.8,,52,,,,"64,631,595"
Vietnam,,1.9,,160,,,4.39,,371,,,49.27,,4159,,,15.89,,1341,,,16.81,,1419,,,37.66,,3179,,,170.53,,14393,,,68.06,,5744,,,17.56,,1482,,,234.44,,19787,,,22.63,,1910,,,,"84,402,966"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,10804,2204.6,13.15%,73397,14.88%,,178.8,17.30%,6087,9.16%,,552.11,13.45%,22174,11.86%,,557.84,22.27%,19891,19.29%,,911.31,8.79%,26532,6.97%,,218.32,9.10%,6204,4.72%,,1295.75,9.46%,33308,3.54%,,1755.98,14.74%,56182,11.27%,,196.13,15.46%,5999,8.87%,,2915.96,13.66%,81811,7.62%,,17.29,6.28%,459,3.16%,,,"581,130,580"
average kg/y for region,,110.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% of all foods,,20.41%,,,,,1.65%,,,,,5.11%,,,,,5.16%,,,,,8.43%,,,,,2.02%,,,,,11.99%,,,,,16.25%,,,,,1.82%,,,,,26.99%,,,,,0.16%,,,,,,
Argentina,,195.08,,7788,,,15.5,,619,,,72.27,,2885,,,44.25,,1767,,,47.37,,1891,,,10.31,,412,,,67.57,,2698,,,96.61,,3857,,,2.4,,96,,,127.74,,5100,,,0.4,,16,,,,"39,921,833"
Belize,,80.3,,23,,,4.62,,1,,,23.45,,7,,,25.78,,7,,,13.47,,4,,,9.09,,3,,,56.2,,16,,,97.98,,28,,,16.23,,5,,,124.63,,36,,,0.65,,0,,,,"287,730"
Bolivia ,,46.04,,414,,,7.38,,66,,,37.65,,338,,,42.59,,383,,,80.26,,721,,,2.57,,23,,,35.89,,323,,,69.41,,624,,,4.76,,43,,,131.35,,1181,,,7.54,,68,,,,"8,989,046"
Brazil,,149.28,,28076,,,7.77,,1461,,,52.26,,9829,,,47.05,,8849,,,49.04,,9223,,,9.09,,1710,,,50.96,,9584,,,93.19,,17527,,,13.58,,2554,,,134.28,,25255,,,0.7,,132,,,,"188,078,227"
Chile,,116.11,,1873,,,10.49,,169,,,50.67,,818,,,40.85,,659,,,58.54,,944,,,11.78,,190,,,112.09,,1808,,,63.92,,1031,,,4.97,,80,,,143.27,,2312,,,1.17,,19,,,,"16,134,219"
Colombia,,108.47,,4729,,,12.79,,558,,,26.79,,1168,,,34.61,,1509,,,77.46,,3377,,,7.16,,312,,,48.73,,2124,,,145.53,,6344,,,7.89,,344,,,136.7,,5959,,,1.27,,55,,,,"43,593,035"
Costa Rica,,183.28,,747,,,10.51,,43,,,25.2,,103,,,26.97,,110,,,23.15,,94,,,18.46,,75,,,41.36,,169,,,133.39,,544,,,14.41,,59,,,122.73,,500,,,0.56,,2,,,,"4,075,261"
Ecuador,,139.6,,1891,,,7.78,,105,,,27.52,,373,,,20.49,,278,,,20.8,,282,,,7.77,,105,,,28.16,,381,,,102.49,,1388,,,3.74,,51,,,167.49,,2269,,,0.21,,3,,,,"13,547,510"
El Salvador,,124.34,,848,,,8.73,,60,,,11.01,,75,,,24.05,,164,,,25.17,,172,,,6.64,,45,,,84.25,,575,,,53.72,,366,,,18.4,,126,,,138.16,,943,,,0.15,,1,,,,"6,822,378"
Guatemala,,46.6,,573,,,13.49,,166,,,16.42,,202,,,18.45,,227,,,11.86,,146,,,2.58,,32,,,53.31,,655,,,59.99,,737,,,16.37,,201,,,139.86,,1719,,,1.31,,16,,,,"12,293,545"
Guyana,,141.68,,109,,,1.86,,1,,,6.91,,5,,,38.68,,30,,,33.41,,26,,,30.48,,23,,,272.46,,209,,,56.7,,44,,,9.75,,7,,,176.15,,135,,,0.74,,1,,,,"767,245"
Honduras,,91.33,,669,,,4.34,,32,,,11.57,,85,,,23.2,,170,,,7.33,,54,,,3.15,,23,,,25.09,,184,,,86.41,,633,,,12.68,,93,,,133.22,,976,,,0.27,,2,,,,"7,326,496"
Mexico,,111.87,,12020,,,19.31,,2075,,,34.8,,3739,,,34.46,,3703,,,17.08,,1835,,,14.38,,1545,,,75.52,,8115,,,107.44,,11544,,,13.2,,1418,,,157.44,,16917,,,1.24,,133,,,,"107,449,525"
Nicaragua,,85.16,,474,,,5.45,,30,,,7.24,,40,,,20.47,,114,,,18.76,,104,,,6.51,,36,,,35.55,,198,,,39.08,,218,,,15.82,,88,,,165.46,,922,,,0.03,,0,,,,"5,570,129"
Panama,,70.29,,224,,,6.01,,19,,,31.18,,100,,,33.92,,108,,,17.06,,54,,,13.12,,42,,,25.43,,81,,,89.46,,285,,,7.9,,25,,,187.22,,597,,,0.47,,1,,,,"3,191,319"
Paraguay,,75.72,,493,,,12.08,,79,,,30.92,,201,,,9.97,,65,,,171.53,,1116,,,4.17,,27,,,49.62,,323,,,73.04,,475,,,9.87,,64,,,111.15,,723,,,0.04,,0,,,,"6,506,464"
Peru,,62.15,,1759,,,8.95,,253,,,11,,311,,,13.59,,385,,,131.68,,3727,,,25.04,,709,,,66.86,,1892,,,118.21,,3346,,,10.6,,300,,,160.52,,4543,,,0.31,,9,,,,"28,302,603"
Suriname,,48.97,,22,,,6.29,,3,,,10.71,,5,,,33.46,,15,,,29.12,,13,,,16.69,,7,,,62.47,,27,,,116.46,,51,,,4.41,,2,,,165.69,,73,,,0,,0,,,,"439,117"
Uruguay,,210.54,,723,,,11.83,,41,,,43.93,,151,,,9.39,,32,,,47.6,,163,,,9.23,,32,,,59.93,,206,,,71.27,,245,,,4.07,,14,,,161.42,,554,,,0.23,,1,,,,"3,431,932"
Venezuela,,117.79,,9942,,,3.62,,306,,,20.61,,1740,,,15.61,,1318,,,30.62,,2584,,,10.1,,852,,,44.3,,3739,,,81.68,,6894,,,5.08,,429,,,131.48,,11097,,,0,,0,,,,"84,402,966"